 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
68059 00:00:00.000 R 09f80200 8a fc 0f 7e 00 00 ff ff
68062 00:00:00.000 R 09f80200 8b fd 8f 8e 00 00 ff ff
68063 00:00:00.000 R 09f11200 8b ff ff ff 7f f0 ff fc
68064 00:00:00.000 R 09f80100 80 8c 39 1e 68 24 cf fe
68074 00:00:00.000 R 09fd0202 f8 22 03 af 3f fa ff ff
68077 00:00:00.000 R 09f11200 8c ff ff ff 7f f0 ff fc
68260 00:00:00.000 R 0df50b23 ff 6f 01 00 00 00 00 ff
68262 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
68262 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
68273 00:00:00.000 R 09fd0202 f9 25 03 98 3e fa ff ff
68275 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
68276 00:00:00.000 R 0df80500 8c ac 4d 10 3a d5 17 00 00 dd 6d d9 89 09 07 00 10 4a 51 0f 05 b9 ff 60 93 53 ff ff ff ff ff 20 fc 08 82 00 ff 7f ff ff ff 7f ff
68466 00:00:00.000 R 09fd0202 00 1e 03 d6 40 fa ff ff
68470 00:00:00.000 R 09f11200 8f ff ff ff 7f f0 ff fc
68470 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
68471 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
68482 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
68483 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
68657 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
68658 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
68659 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
68670 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
68680 00:00:00.000 R 09f11200 90 ff ff ff 7f f0 ff fc
68681 00:00:00.000 R 09fd0202 02 09 03 67 41 fa ff ff
68842 00:00:00.000 R 09f11200 93 ff ff ff 7f f0 ff fc
68842 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
68894 00:00:00.000 R 09fd0202 05 f3 02 f5 45 fa ff ff
68897 00:00:00.000 R 09f11200 94 ff ff ff 7f f0 ff fc
68898 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
68898 00:00:00.000 R 09f80200 94 fc 0f 7e 00 00 ff ff
68910 00:00:00.000 R 09f80200 95 fd 8f 8e 00 00 ff ff
68911 00:00:00.000 R 09fd0202 06 ee 02 f8 44 fa ff ff
69048 00:00:00.000 R 09fd0202 07 eb 02 cb 45 fa ff ff
69052 00:00:00.000 R 09f11200 96 ff ff ff 7f f0 ff fc
69053 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
69053 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
69065 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
69065 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
69076 00:00:00.000 R 15fd0723 ff c0 ce 71 ff 7f ff ff
69076 00:00:00.000 R 0df80500 96 ac 4d 60 fd d5 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff e0 e2 65 ff ff ff ff ff 2f fc 09 82 00 ff 7f ff ff ff 7f ff
69088 00:00:00.000 R 09f80200 96 fc 0f 7e 00 00 ff ff
69100 00:00:00.000 R 09f80200 97 fd 8f 8e 00 00 ff ff
69179 00:00:00.000 R 19fa0300 97 ff 82 00 ff 7f ff 7f
69179 00:00:00.000 R 0df80900 ac 4d 60 fd d5 17 ff 7f
69180 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
69293 00:00:00.000 R 09f11200 97 ff ff ff 7f f0 ff fc
69294 00:00:00.000 R 0df50b00 97 6e 01 00 00 00 00 ff
69295 00:00:00.000 R 19f21420 00 ea 04 0d 00 80 70 00
69306 00:00:00.000 R 0df90300 97 f0 ff ff ff 7f ff ff
69306 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
69307 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
69477 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
69478 00:00:00.000 R 09fd0202 0a e4 02 97 42 fa ff ff
69491 00:00:00.000 R 09f11200 99 ff ff ff 7f f0 ff fc
